2019-10-18 15:44:31 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Initializing Eureka in region us-east-1
2019-10-18 15:44:31 INFO  [DASH-Server-System,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON encoding codec LegacyJacksonJson
2019-10-18 15:44:31 INFO  [DASH-Server-System,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON decoding codec LegacyJacksonJson
2019-10-18 15:44:31 INFO  [DASH-Server-System,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML encoding codec XStreamXml
2019-10-18 15:44:31 INFO  [DASH-Server-System,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML decoding codec XStreamXml
2019-10-18 15:44:32 INFO  [DASH-Server-System,,,] main com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver Resolving eureka endpoints via configuration
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Disable delta property : false
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Single vip registry refresh property : null
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Force full registry fetch : false
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Application is null : false
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Registered Applications size is zero : true
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Application version is -1: true
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Getting all instance registry info from the eureka server
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient The response status is 200
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Starting heartbeat executor: renew interval is: 20
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.InstanceInfoReplicator InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Discovery Client initialized at timestamp 1571384673439 with initial instances count: 4
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry Registering application DASH-SERVER-SYSTEM with eureka with status UP
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main com.netflix.discovery.DiscoveryClient Saw local status change event StatusChangeEvent [timestamp=1571384673459, current=UP, previous=STARTING]
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper Context refreshed
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] DiscoveryClient-InstanceInfoReplicator-0 com.netflix.discovery.DiscoveryClient DiscoveryClient_DASH-SERVER-SYSTEM/WIN-VGLLHI88AC8:DASH-Server-System:8201: registering service...
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper Found 1 custom documentation plugin(s)
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] DiscoveryClient-InstanceInfoReplicator-0 com.netflix.discovery.DiscoveryClient DiscoveryClient_DASH-SERVER-SYSTEM/WIN-VGLLHI88AC8:DASH-Server-System:8201 - registration status: 204
2019-10-18 15:44:33 INFO  [DASH-Server-System,,,] main springfox.documentation.spring.web.scanners.ApiListingReferenceScanner Scanning for api listing references
2019-10-18 15:44:34 INFO  [DASH-Server-System,,,] main org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-8201"]
2019-10-18 15:44:34 INFO  [DASH-Server-System,,,] main org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 8201 (http) with context path ''
2019-10-18 15:44:34 INFO  [DASH-Server-System,,,] main org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration Updating port to 8201
2019-10-18 15:44:34 INFO  [DASH-Server-System,,,] main com.sprint.dash.server.system.DashServerSystemApplication Started DashServerSystemApplication in 25.9 seconds (JVM running for 27.293)
